species,genus,family
Miconia_gracilis,Miconia,Melastomataceae
Miconia_ciliata,Miconia,Melastomataceae
Graffenrieda_limbata,Graffenrieda,Melastomataceae
Leandra_rhamnifolia,Leandra,Melastomataceae
Tibouchina_herbacea,Tibouchina,Melastomataceae
Miconia_cannabina,Miconia,Melastomataceae
Miconia_salicifolia,Miconia,Melastomataceae
Miconia_argyrophylla,Miconia,Melastomataceae
Comolia_coriacea,Comolia,Melastomataceae
Pachyloma_huberioides,Pachyloma,Melastomataceae
Blakea_portentosa,Blakea,Melastomataceae
Blakea_gracilis,Blakea,Melastomataceae
Clidemia_petiolaris,Clidemia,Melastomataceae
Blakea_repens,Blakea,Melastomataceae
Miconia_pepericarpa,Miconia,Melastomataceae
Miconia_petropolitana,Miconia,Melastomataceae
Mouriri_crassifolia,Mouriri,Melastomataceae
Tibouchina_arborea,Tibouchina,Melastomataceae
Tibouchina_bicolor,Tibouchina,Melastomataceae
Miconia_stephananthera,Miconia,Melastomataceae
Tococa_stephanotricha,Tococa,Melastomataceae
Aciotis_polystachya,Aciotis,Melastomataceae
Clidemia_epiphytica,Clidemia,Melastomataceae
Miconia_cuspidata,Miconia,Melastomataceae
Lavoisiera_imbricata,Lavoisiera,Melastomataceae
Clidemia_ciliata,Clidemia,Melastomataceae
Heterocentron_subtriplinervium,Heterocentron,Melastomataceae
Miconia_lamprophylla,Miconia,Melastomataceae
Henriettea_stellaris,Henriettea,Melastomataceae
Desmoscelis_villosa,Desmoscelis,Melastomataceae
Tibouchina_fissinervia,Tibouchina,Melastomataceae
Leandra_hirta,Leandra,Melastomataceae
Conostegia_oerstediana,Conostegia,Melastomataceae
Tetrazygia_bicolor,Tetrazygia,Melastomataceae
Miconia_heliotropoides,Miconia,Melastomataceae
Tococa_macrosperma,Tococa,Melastomataceae
Miconia_paleacea,Miconia,Melastomataceae
Conostegia_speciosa,Conostegia,Melastomataceae
Comolia_ovalifolia,Comolia,Melastomataceae
Tococa_bullifera,Tococa,Melastomataceae
Meriania_tomentosa,Meriania,Melastomataceae
Leandra_micropetala,Leandra,Melastomataceae
Miconia_tristis,Miconia,Melastomataceae
Leandra_mexicana,Leandra,Melastomataceae
Miconia_decurrens,Miconia,Melastomataceae
Noterophila_limnobios,Noterophila,Melastomataceae
Marcetia_taxifolia,Marcetia,Melastomataceae
Miconia_tuberculata,Miconia,Melastomataceae
Leandra_salicina,Leandra,Melastomataceae
Blakea_multiflora,Blakea,Melastomataceae
Tibouchina_laxa,Tibouchina,Melastomataceae
Miconia_quinquenervia,Miconia,Melastomataceae
Henriettea_martiusii,Henriettea,Melastomataceae
Tococa_aristata,Tococa,Melastomataceae
Miconia_chrysophylla,Miconia,Melastomataceae
Clidemia_septuplinervia,Clidemia,Melastomataceae
Opisthocentra_clidemioides,Opisthocentra,Melastomataceae
Miconia_pyrifolia,Miconia,Melastomataceae
Tateanthus_duidae,Tateanthus,Melastomataceae
Miconia_crocea,Miconia,Melastomataceae
Bellucia_arborescens,Bellucia,Melastomataceae
Mouriri_collocarpa,Mouriri,Melastomataceae
Rhexia_mariana,Rhexia,Melastomataceae
Leandra_xanthocoma,Leandra,Melastomataceae
Henriettea_patrisiana,Henriettea,Melastomataceae
Graffenrieda_rupestris,Graffenrieda,Melastomataceae
Tibouchina_grossa,Tibouchina,Melastomataceae
Tetrazygia_discolor,Tetrazygia,Melastomataceae
Mouriri_myrtilloides,Mouriri,Melastomataceae
Clidemia_octona,Clidemia,Melastomataceae
Tibouchina_aegopogon,Tibouchina,Melastomataceae
Leandra_melanodesma,Leandra,Melastomataceae
Miconia_desmantha,Miconia,Melastomataceae
Leandra_francavillana,Leandra,Melastomataceae
Bucquetia_glutinosa,Bucquetia,Melastomataceae
Conostegia_icosandra,Conostegia,Melastomataceae
Tibouchina_barbigera,Tibouchina,Melastomataceae
Tibouchina_longifolia,Tibouchina,Melastomataceae
Mecranium_latifolium,Mecranium,Melastomataceae
Clidemia_dimorphica,Clidemia,Melastomataceae
Clidemia_cymosa,Clidemia,Melastomataceae
Miconia_ligustrina,Miconia,Melastomataceae
Leandra_sulfurea,Leandra,Melastomataceae
Ossaea_microphylla,Ossaea,Melastomataceae
Siphanthera_hostmannii,Siphanthera,Melastomataceae
Miconia_brevipes,Miconia,Melastomataceae
Miconia_loreyoides,Miconia,Melastomataceae
Miconia_nutans,Miconia,Melastomataceae
Chaetolepis_microphylla,Chaetolepis,Melastomataceae
Miconia_pyramidalis,Miconia,Melastomataceae
Axinaea_costaricensis,Axinaea,Melastomataceae
Blakea_trinervia,Blakea,Melastomataceae
Miconia_resima,Miconia,Melastomataceae
Blakea_sawadae,Blakea,Melastomataceae
Centradenia_grandifolia,Centradenia,Melastomataceae
Acisanthera_quadrata,Acisanthera,Melastomataceae
Tibouchina_trichopoda,Tibouchina,Melastomataceae
Rhynchanthera_mexicana,Rhynchanthera,Melastomataceae
Miconia_guatemalensis,Miconia,Melastomataceae
Huberia_ovalifolia,Huberia,Melastomataceae
Leandra_melastomoides,Leandra,Melastomataceae
Miconia_poeppigii,Miconia,Melastomataceae
Tibouchina_lepidota,Tibouchina,Melastomataceae
Leandra_dasytricha,Leandra,Melastomataceae
Arthrostemma_parvifolium,Arthrostemma,Melastomataceae
Bellucia_spruceana,Bellucia,Melastomataceae
Miconia_spennerostachya,Miconia,Melastomataceae
Miconia_hypoleuca,Miconia,Melastomataceae
Miconia_virescens,Miconia,Melastomataceae
Tibouchina_striphnocalyx,Tibouchina,Melastomataceae
Miconia_thomasiana,Miconia,Melastomataceae
Comolia_vernicosa,Comolia,Melastomataceae
Leandra_aurea,Leandra,Melastomataceae
Tibouchina_alpestris,Tibouchina,Melastomataceae
Henriettea_ovata,Henriettea,Melastomataceae
Tococa_guianensis,Tococa,Melastomataceae
Axinaea_merianiae,Axinaea,Melastomataceae
Miconia_bullata,Miconia,Melastomataceae
Miconia_carassana,Miconia,Melastomataceae
Mouriri_elliptica,Mouriri,Melastomataceae
Miconia_ferruginea,Miconia,Melastomataceae
Pleiochiton_blepharodes,Pleiochiton,Melastomataceae
Tibouchina_sellowiana,Tibouchina,Melastomataceae
Ossaea_congestiflora,Ossaea,Melastomataceae
Leandra_krugii,Leandra,Melastomataceae
Miconia_meridensis,Miconia,Melastomataceae
Mecranium_virgatum,Mecranium,Melastomataceae
Leandra_hirtella,Leandra,Melastomataceae
Miconia_sanguinea,Miconia,Melastomataceae
Miconia_navioensis,Miconia,Melastomataceae
Miconia_schlechtendalii,Miconia,Melastomataceae
Clidemia_hirta,Clidemia,Melastomataceae
Ernestia_tenella,Ernestia,Melastomataceae
Chaetostoma_pungens,Chaetostoma,Melastomataceae
Tibouchina_paratropica,Tibouchina,Melastomataceae
Clidemia_obliqua,Clidemia,Melastomataceae
Miconia_tetrandra,Miconia,Melastomataceae
Henriettea_fascicularis,Henriettea,Melastomataceae
Miconia_irwinii,Miconia,Melastomataceae
Rhynchanthera_grandiflora,Rhynchanthera,Melastomataceae
Miconia_albertobrenesii,Miconia,Melastomataceae
Miconia_abbreviata,Miconia,Melastomataceae
Monochaetum_bonplandii,Monochaetum,Melastomataceae
Leandra_australis,Leandra,Melastomataceae
Clidemia_dentata,Clidemia,Melastomataceae
Miconia_multiplinervia,Miconia,Melastomataceae
Bellucia_grossularioides,Bellucia,Melastomataceae
Siphanthera_cordifolia,Siphanthera,Melastomataceae
Leandra_acutiflora,Leandra,Melastomataceae
Aciotis_indecora,Aciotis,Melastomataceae
Miconia_solearis,Miconia,Melastomataceae
Leandra_solenifera,Leandra,Melastomataceae
Miconia_reducens,Miconia,Melastomataceae
Conostegia_setosa,Conostegia,Melastomataceae
Leandra_foveolata,Leandra,Melastomataceae
Leandra_rufescens,Leandra,Melastomataceae
Rhexia_interior,Rhexia,Melastomataceae
Nepsera_aquatica,Nepsera,Melastomataceae
Chaetostoma_selagineum,Chaetostoma,Melastomataceae
Miconia_stelligera,Miconia,Melastomataceae
Miconia_pedicellata,Miconia,Melastomataceae
Miconia_ferruginata,Miconia,Melastomataceae
Meriania_sclerophylla,Meriania,Melastomataceae
Miconia_boliviensis,Miconia,Melastomataceae
Comolia_sertularia,Comolia,Melastomataceae
Miconia_sellowiana,Miconia,Melastomataceae
Miconia_lutescens,Miconia,Melastomataceae
Leandra_glandulifera,Leandra,Melastomataceae
Henriettea_ramiflora,Henriettea,Melastomataceae
Miconia_oinochrophylla,Miconia,Melastomataceae
Miconia_diaphanea,Miconia,Melastomataceae
Miconia_barbeyana,Miconia,Melastomataceae
Conostegia_monteleagreana,Conostegia,Melastomataceae
Monolena_primuliflora,Monolena,Melastomataceae
Miconia_reitziana,Miconia,Melastomataceae
Clidemia_japurensis,Clidemia,Melastomataceae
Rhexia_alifanus,Rhexia,Melastomataceae
Miconia_livida,Miconia,Melastomataceae
Microlicia_cordata,Microlicia,Melastomataceae
Miconia_rimachii,Miconia,Melastomataceae
Adelobotrys_adscendens,Adelobotrys,Melastomataceae
Leandra_amplexicaulis,Leandra,Melastomataceae
Monochaetum_myrtoideum,Monochaetum,Melastomataceae
Miconia_chionophila,Miconia,Melastomataceae
Monochaetum_vulcanicum,Monochaetum,Melastomataceae
Mecranium_ovatum,Mecranium,Melastomataceae
Miconia_tinifolia,Miconia,Melastomataceae
Miconia_ceramicarpa,Miconia,Melastomataceae
Aciotis_annua,Aciotis,Melastomataceae
Miconia_macrothyrsa,Miconia,Melastomataceae
Miconia_macrodon,Miconia,Melastomataceae
Tibouchina_gardneriana,Tibouchina,Melastomataceae
Clidemia_heterophylla,Clidemia,Melastomataceae
Mouriri_vernicosa,Mouriri,Melastomataceae
Miconia_marginata,Miconia,Melastomataceae
Graffenrieda_cucullata,Graffenrieda,Melastomataceae
Miconia_hyemalis,Miconia,Melastomataceae
Macrocentrum_fasciculatum,Macrocentrum,Melastomataceae
Conostegia_lasiopoda,Conostegia,Melastomataceae
Miconia_fasciculata,Miconia,Melastomataceae
Chaetolepis_lindeniana,Chaetolepis,Melastomataceae
Adelobotrys_permixta,Adelobotrys,Melastomataceae
Blakea_maurofernandeziana,Blakea,Melastomataceae
Miconia_collatata,Miconia,Melastomataceae
Ossaea_boliviensis,Ossaea,Melastomataceae
Miconia_trinervia,Miconia,Melastomataceae
Tococa_acuminata,Tococa,Melastomataceae
Microlicia_benthamiana,Microlicia,Melastomataceae
Microlicia_isophylla,Microlicia,Melastomataceae
Cambessedesia_fasciculata,Cambessedesia,Melastomataceae
Miconia_benthamiana,Miconia,Melastomataceae
Miconia_spinulosa,Miconia,Melastomataceae
Miconia_asperrima,Miconia,Melastomataceae
Miconia_aplostachya,Miconia,Melastomataceae
Clidemia_minutiflora,Clidemia,Melastomataceae
Aciotis_acuminifolia,Aciotis,Melastomataceae
Miconia_theizans,Miconia,Melastomataceae
Siphanthera_paludosa,Siphanthera,Melastomataceae
Clidemia_sprucei,Clidemia,Melastomataceae
Miconia_variabilis,Miconia,Melastomataceae
Mouriri_exilis,Mouriri,Melastomataceae
Tococa_macrophysca,Tococa,Melastomataceae
Monochaetum_floribundum,Monochaetum,Melastomataceae
Blakea_tuberculata,Blakea,Melastomataceae
Monolena_primulaeflora,Monolena,Melastomataceae
Rhexia_cubensis,Rhexia,Melastomataceae
Graffenrieda_miconioides,Graffenrieda,Melastomataceae
Monochaetum_humboldtianum,Monochaetum,Melastomataceae
Miconia_rufibarbis,Miconia,Melastomataceae
Meriania_urceolata,Meriania,Melastomataceae
Miconia_staminea,Miconia,Melastomataceae
Clidemia_pustulata,Clidemia,Melastomataceae
Miconia_myriantha,Miconia,Melastomataceae
Clidemia_capitata,Clidemia,Melastomataceae
Miconia_polygama,Miconia,Melastomataceae
Miconia_tiliifolia,Miconia,Melastomataceae
Miconia_elata,Miconia,Melastomataceae
Miconia_hirtella,Miconia,Melastomataceae
Sandemania_hoehnei,Sandemania,Melastomataceae
Monochaetum_calcaratum,Monochaetum,Melastomataceae
Henriettea_squamulosa,Henriettea,Melastomataceae
Blakea_parasitica,Blakea,Melastomataceae
Ossaea_capillaris,Ossaea,Melastomataceae
Brachyotum_naudinii,Brachyotum,Melastomataceae
Miconia_rugosa,Miconia,Melastomataceae
Pterogastra_divaricata,Pterogastra,Melastomataceae
Tibouchina_moritziana,Tibouchina,Melastomataceae
Miconia_smaragdina,Miconia,Melastomataceae
Miconia_lepidota,Miconia,Melastomataceae
Leandra_agrestis,Leandra,Melastomataceae
Centronia_laurifolia,Centronia,Melastomataceae
Clidemia_hirta,Clidemia,Melastomataceae
Brachyotum_lindenii,Brachyotum,Melastomataceae
Leandra_purpurascens,Leandra,Melastomataceae
Trembleya_parviflora,Trembleya,Melastomataceae
Henriettea_seemannii,Henriettea,Melastomataceae
Centradenia_floribunda,Centradenia,Melastomataceae
Miconia_ruficalyx,Miconia,Melastomataceae
Cambessedesia_corymbosa,Cambessedesia,Melastomataceae
Macrocentrum_repens,Macrocentrum,Melastomataceae
Tibouchina_candolleana,Tibouchina,Melastomataceae
Miconia_striata,Miconia,Melastomataceae
Henriettea_caudata,Henriettea,Melastomataceae
Brachyotum_jamesonii,Brachyotum,Melastomataceae
Miconia_serrulata,Miconia,Melastomataceae
Miconia_theaezans,Miconia,Melastomataceae
Miconia_lasseri,Miconia,Melastomataceae
Rhexia_lutea,Rhexia,Melastomataceae
Macrocentrum_droseroides,Macrocentrum,Melastomataceae
Huberia_semiserrata,Huberia,Melastomataceae
Bellucia_ovata,Bellucia,Melastomataceae
Miconia_ioneura,Miconia,Melastomataceae
Miconia_molybdea,Miconia,Melastomataceae
Mecranium_acuminatum,Mecranium,Melastomataceae
Brachyotum_ledifolium,Brachyotum,Melastomataceae
Tococa_quadrialata,Tococa,Melastomataceae
Miconia_punctata,Miconia,Melastomataceae
Miconia_lacera,Miconia,Melastomataceae
Clidemia_capitellata,Clidemia,Melastomataceae
Miconia_alata,Miconia,Melastomataceae
Charianthus_corymbosus,Charianthus,Melastomataceae
Mecranium_puberulum,Mecranium,Melastomataceae
Conostegia_micrantha,Conostegia,Melastomataceae
Henriettea_multiflora,Henriettea,Melastomataceae
Miconia_lauriformis,Miconia,Melastomataceae
Tibouchina_pulchra,Tibouchina,Melastomataceae
Miconia_aeruginosa,Miconia,Melastomataceae
Aciotis_ornata,Aciotis,Melastomataceae
Tetrazygia_crotonifolia,Tetrazygia,Melastomataceae
Mouriri_pusa,Mouriri,Melastomataceae
Miconia_radula,Miconia,Melastomataceae
Tetrazygia_elaegnoides,Tetrazygia,Melastomataceae
Henriettea_granulata,Henriettea,Melastomataceae
Miconia_caudata,Miconia,Melastomataceae
Mouriri_acutiflora,Mouriri,Melastomataceae
Miconia_plukenetii,Miconia,Melastomataceae
Leandra_multiplinervis,Leandra,Melastomataceae
Bellucia_dichotoma,Bellucia,Melastomataceae
Miconia_ruizii,Miconia,Melastomataceae
Miconia_budlejoides,Miconia,Melastomataceae
Miconia_ramboi,Miconia,Melastomataceae
Blakea_grandiflora,Blakea,Melastomataceae
Henriettea_verrucosa,Henriettea,Melastomataceae
Clidemia_ciliata,Clidemia,Melastomataceae
Miconia_bubalina,Miconia,Melastomataceae
Miconia_superba,Miconia,Melastomataceae
Tibouchina_spruceana,Tibouchina,Melastomataceae
Rhexia_ventricosa,Rhexia,Melastomataceae
Miconia_stipularis,Miconia,Melastomataceae
Graffenrieda_weddellii,Graffenrieda,Melastomataceae
Meriania_involucrata,Meriania,Melastomataceae
Miconia_aspergillaris,Miconia,Melastomataceae
Bellucia_mespiloides,Bellucia,Melastomataceae
Henriettea_spruceana,Henriettea,Melastomataceae
Miconia_tomentosa,Miconia,Melastomataceae
Miconia_versicolor,Miconia,Melastomataceae
Miconia_hondurensis,Miconia,Melastomataceae
Aciotis_rubricaulis,Aciotis,Melastomataceae
Microlicia_viminalis,Microlicia,Melastomataceae
Miconia_ceramicarpa,Miconia,Melastomataceae
Miconia_acutifolia,Miconia,Melastomataceae
Clidemia_urceolata,Clidemia,Melastomataceae
Tibouchina_fraterna,Tibouchina,Melastomataceae
Graffenrieda_latifolia,Graffenrieda,Melastomataceae
Miconia_lehmannii,Miconia,Melastomataceae
Miconia_globuliflora,Miconia,Melastomataceae
Phainantha_laxiflora,Phainantha,Melastomataceae
Miconia_ulmarioides,Miconia,Melastomataceae
Conostegia_rufescens,Conostegia,Melastomataceae
Miconia_theaezans,Miconia,Melastomataceae
Conostegia_polyandra,Conostegia,Melastomataceae
Miconia_rubiginosa,Miconia,Melastomataceae
Miconia_fallax,Miconia,Melastomataceae
Appendicularia_thymifolia,Appendicularia,Melastomataceae
Miconia_splendens,Miconia,Melastomataceae
Rhynchanthera_cordata,Rhynchanthera,Melastomataceae
Clidemia_laevifolia,Clidemia,Melastomataceae
Miconia_minutiflora,Miconia,Melastomataceae
Mouriri_huberi,Mouriri,Melastomataceae
Tococa_formicaria,Tococa,Melastomataceae
Miconia_aurea,Miconia,Melastomataceae
Miconia_goniostigma,Miconia,Melastomataceae
Macairea_lasiophylla,Macairea,Melastomataceae
Conostegia_subcrustulata,Conostegia,Melastomataceae
Ossaea_angustifolia,Ossaea,Melastomataceae
Miconia_lanata,Miconia,Melastomataceae
Pilocosta_nana,Pilocosta,Melastomataceae
Monochaetum_tenellum,Monochaetum,Melastomataceae
Tibouchina_aspera,Tibouchina,Melastomataceae
Miconia_amazonica,Miconia,Melastomataceae
Tococa_caquetana,Tococa,Melastomataceae
Miconia_biappendiculata,Miconia,Melastomataceae
Mecranium_integrifolium,Mecranium,Melastomataceae
Miconia_chamissois,Miconia,Melastomataceae
Leandra_caquetana,Leandra,Melastomataceae
Miconia_aliquantula,Miconia,Melastomataceae
Comolia_villosa,Comolia,Melastomataceae
Tibouchina_cubense,Tibouchina,Melastomataceae
Miconia_longispicata,Miconia,Melastomataceae
Miconia_biglandulosa,Miconia,Melastomataceae
Leandra_erostrata,Leandra,Melastomataceae
Miconia_rufescens,Miconia,Melastomataceae
Miconia_melanotricha,Miconia,Melastomataceae
Microlicia_graveolens,Microlicia,Melastomataceae
Meriania_speciosa,Meriania,Melastomataceae
Miconia_tonduzii,Miconia,Melastomataceae
Mecranium_multiflorum,Mecranium,Melastomataceae
Graffenrieda_fruticosa,Graffenrieda,Melastomataceae
Miconia_denticulata,Miconia,Melastomataceae
Miconia_quadrangularis,Miconia,Melastomataceae
Miconia_nervosa,Miconia,Melastomataceae
Miconia_selleana,Miconia,Melastomataceae
Macairea_thyrsiflora,Macairea,Melastomataceae
Conostegia_volcanalis,Conostegia,Melastomataceae
Blakea_anomala,Blakea,Melastomataceae
Blakea_schlimii,Blakea,Melastomataceae
Tococa_spadiciflora,Tococa,Melastomataceae
Leandra_granatensis,Leandra,Melastomataceae
Clidemia_octona,Clidemia,Melastomataceae
Macrocentrum_cristatum,Macrocentrum,Melastomataceae
Rhexia_aristosa,Rhexia,Melastomataceae
Miconia_baracoensis,Miconia,Melastomataceae
Miconia_hyperprasina,Miconia,Melastomataceae
Rhynchanthera_novemnervia,Rhynchanthera,Melastomataceae
Rhynchanthera_serrulata,Rhynchanthera,Melastomataceae
Miconia_lasiocalyx,Miconia,Melastomataceae
Miconia_amoena,Miconia,Melastomataceae
Cambessedesia_hilariana,Cambessedesia,Melastomataceae
Miconia_dispar,Miconia,Melastomataceae
Miconia_neomicrantha,Miconia,Melastomataceae
Maieta_guianensis,Maieta,Melastomataceae
Conostegia_bracteata,Conostegia,Melastomataceae
Miconia_lourteigiana,Miconia,Melastomataceae
Microlicia_fulva,Microlicia,Melastomataceae
Bellucia_umbellata,Bellucia,Melastomataceae
Brachyotum_quinquenerve,Brachyotum,Melastomataceae
Rhexia_nuttallii,Rhexia,Melastomataceae
Miconia_phaeophylla,Miconia,Melastomataceae
Miconia_regelii,Miconia,Melastomataceae
Clidemia_juruensis,Clidemia,Melastomataceae
Miconia_bracteolata,Miconia,Melastomataceae
Miconia_papillosa,Miconia,Melastomataceae
Tibouchina_bipenicillata,Tibouchina,Melastomataceae
Meriania_macrophylla,Meriania,Melastomataceae
Rhexia_mariana,Rhexia,Melastomataceae
Triolena_hirsuta,Triolena,Melastomataceae
Miconia_cladonia,Miconia,Melastomataceae
Graffenrieda_intermedia,Graffenrieda,Melastomataceae
Miconia_pusilliflora,Miconia,Melastomataceae
Miconia_erioclada,Miconia,Melastomataceae
Macairea_rigida,Macairea,Melastomataceae
Miconia_rubens,Miconia,Melastomataceae
Miconia_simplex,Miconia,Melastomataceae
Miconia_tillettii,Miconia,Melastomataceae
Leandra_grandifolia,Leandra,Melastomataceae
Tibouchina_urvilleana,Tibouchina,Melastomataceae
Tibouchina_mollis,Tibouchina,Melastomataceae
Blakea_quadrangularis,Blakea,Melastomataceae
Miconia_sintenisii,Miconia,Melastomataceae
Miconia_chartacea,Miconia,Melastomataceae
Miconia_radulaefolia,Miconia,Melastomataceae
Macrocentrum_vestitum,Macrocentrum,Melastomataceae
Ossaea_marginata,Ossaea,Melastomataceae
Tibouchina_granulosa,Tibouchina,Melastomataceae
Miconia_tetrasperma,Miconia,Melastomataceae
Tetrazygia_urbani,Tetrazygia,Melastomataceae
Leandra_divaricata,Leandra,Melastomataceae
Adelobotrys_monticola,Adelobotrys,Melastomataceae
Clidemia_monantha,Clidemia,Melastomataceae
Miconia_melinonis,Miconia,Melastomataceae
Blakea_subconnata,Blakea,Melastomataceae
Clidemia_allardii,Clidemia,Melastomataceae
Miconia_furfuracea,Miconia,Melastomataceae
Rhexia_nashii,Rhexia,Melastomataceae
Miconia_subcompressa,Miconia,Melastomataceae
Clidemia_sericea,Clidemia,Melastomataceae
Clidemia_umbrosa,Clidemia,Melastomataceae
Leandra_laevigata,Leandra,Melastomataceae
Miconia_trimera,Miconia,Melastomataceae
Miconia_calycina,Miconia,Melastomataceae
Miconia_ampla,Miconia,Melastomataceae
Miconia_elaeoides,Miconia,Melastomataceae
Miconia_lonchophylla,Miconia,Melastomataceae
Pterolepis_trichotoma,Pterolepis,Melastomataceae
Clidemia_rubra,Clidemia,Melastomataceae
Macairea_stylosa,Macairea,Melastomataceae
Tococa_rotundifolia,Tococa,Melastomataceae
Miconia_laxivenula,Miconia,Melastomataceae
Leandra_candelabrum,Leandra,Melastomataceae
Miconia_ternatifolia,Miconia,Melastomataceae
Miconia_latifolia,Miconia,Melastomataceae
Clidemia_discolor,Clidemia,Melastomataceae
Monochaetum_meridense,Monochaetum,Melastomataceae
Aciotis_purpurascens,Aciotis,Melastomataceae
Miconia_eugenioides,Miconia,Melastomataceae
Henriettea_tuberculosa,Henriettea,Melastomataceae
Miconia_argentea,Miconia,Melastomataceae
Miconia_tetrastoma,Miconia,Melastomataceae
Trembleya_phlogiformis,Trembleya,Melastomataceae
Mecranium_integrifolium,Mecranium,Melastomataceae
Tibouchina_hospita,Tibouchina,Melastomataceae
Maieta_poeppigii,Maieta,Melastomataceae
Meriania_hexamera,Meriania,Melastomataceae
Tibouchina_stenocarpa,Tibouchina,Melastomataceae
Clidemia_hirta,Clidemia,Melastomataceae
Miconia_samanensis,Miconia,Melastomataceae
Conostegia_montana,Conostegia,Melastomataceae
Clidemia_novemnervia,Clidemia,Melastomataceae
Miconia_dolichorrhyncha,Miconia,Melastomataceae
Rhexia_mariana,Rhexia,Melastomataceae
Macairea_pachyphylla,Macairea,Melastomataceae
Tibouchina_clavata,Tibouchina,Melastomataceae
Clidemia_conglomerata,Clidemia,Melastomataceae
Miconia_multispicata,Miconia,Melastomataceae
Miconia_multiflora,Miconia,Melastomataceae
Miconia_traillii,Miconia,Melastomataceae
Miconia_floribunda,Miconia,Melastomataceae
Miconia_latecrenata,Miconia,Melastomataceae
Arthrostemma_ciliatum,Arthrostemma,Melastomataceae
Miconia_stenostachya,Miconia,Melastomataceae
Miconia_krugii,Miconia,Melastomataceae
Clidemia_strigillosa,Clidemia,Melastomataceae
Bellucia_egensis,Bellucia,Melastomataceae
Miconia_obscura,Miconia,Melastomataceae
Miconia_prasina,Miconia,Melastomataceae
Rhynchanthera_dichotoma,Rhynchanthera,Melastomataceae
Miconia_dichrophylla,Miconia,Melastomataceae
Tibouchina_martialis,Tibouchina,Melastomataceae
Tibouchina_multiflora,Tibouchina,Melastomataceae
Miconia_triplinervis,Miconia,Melastomataceae
Brachyotum_grisebachii,Brachyotum,Melastomataceae
Blakea_guatemalensis,Blakea,Melastomataceae
Charianthus_alpinus,Charianthus,Melastomataceae
Miconia_cubatanensis,Miconia,Melastomataceae
Miconia_eriocalyx,Miconia,Melastomataceae
Miconia_egensis,Miconia,Melastomataceae
Purpurella_grossa,Purpurella,Melastomataceae
Miconia_ligustroides,Miconia,Melastomataceae
Microlicia_fasciculata,Microlicia,Melastomataceae
Henriettea_maroniensis,Henriettea,Melastomataceae
Conostegia_xalapensis,Conostegia,Melastomataceae
Miconia_aggregata,Miconia,Melastomataceae
Tibouchina_gracilis,Tibouchina,Melastomataceae
Mouriri_nervosa,Mouriri,Melastomataceae
Bellucia_pentamera,Bellucia,Melastomataceae
Leandra_crenata,Leandra,Melastomataceae
Clidemia_inobsepta,Clidemia,Melastomataceae
Miconia_affinis,Miconia,Melastomataceae
Tococa_caudata,Tococa,Melastomataceae
Clidemia_biserrata,Clidemia,Melastomataceae
